model,concurrency,state_label,condition,metric,analysis_status,n_episodes,n_episodes_total,median,mean,sample_sd,iqr,min,max
qwen,4,high,fixed_burst,victim_p95_itl_ms,ok,5,5,1495.5399568999999,1495.3061234600002,1.053809034354511,1.4467420999999376,1494.200961,1496.7120301999998
qwen,4,high,fixed_burst,victim_itl_iqr_ms,ok,5,5,2.0716882500000793,2.086826550000069,0.17676365995640433,0.19793499999991582,1.9091597500000717,2.353095750000193
qwen,4,high,fixed_burst,victim_median_ttft_ms,ok,5,5,9210.896370999999,9207.2309148,9.055825628828094,10.672059000000445,9194.1045095,9216.4679235
qwen,4,high,fixed_burst,victim_p95_ttft_ms,ok,5,5,13009.54204635,13009.152379719999,13.944502796744914,18.731258350000644,12992.650941,13027.261038300001
qwen,4,high,fixed_burst,victim_median_e2el_ms,ok,5,5,107127.5569845,107111.8203309,71.20723728949618,74.71279249999498,107036.12730650001,107214.73366900001
qwen,4,high,fixed_burst,victim_p95_e2el_ms,ok,5,5,111313.5685199,111297.16320324,90.89419872869196,150.48119484999916,111200.35035894999,111405.3198425
qwen,4,high,fixed_burst,victim_goodput_tokens_per_s,ok,5,5,2.3806952859264756,2.3808846654983347,0.0017035090330463104,0.002239053325123308,2.378566855717901,2.3827524329399217
qwen,4,high,fixed_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
qwen,4,high,fixed_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,4,high,fixed_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
qwen,8,low,no_burst,victim_median_tpot_ms,ok,5,5,19.488568404761907,19.490661025396825,0.010018289138524497,0.0026645873015880284,19.47911196031746,19.506700936507936
qwen,8,low,no_burst,victim_median_itl_ms,ok,5,5,19.472706000000002,19.4746227,0.014220260232322568,0.01317449999999809,19.455136500000002,19.4928925
qwen,8,low,no_burst,victim_p95_itl_ms,ok,5,5,19.7179085,19.722105019999997,0.020234309094043668,0.01756545000000287,19.702244049999997,19.754324
qwen,8,low,no_burst,victim_itl_iqr_ms,ok,5,5,0.21770599999999973,0.21188205000000054,0.05140729607732233,0.03237700000000032,0.12513624999999706,0.25311950000000394
qwen,8,low,no_burst,victim_median_ttft_ms,ok,5,5,427.71602900000005,435.2273736,12.204009545975305,19.88336049999998,425.291828,450.7547615
